idmarca;Marca;idmodelo;Modelo;idversion;Version;idpais
2;Alfa Romeo;75;159;12066;2.2 JTS 185 CV Selespeed;27
2;Alfa Romeo;77;166;12067;V6. 2.0I;27
2;Alfa Romeo;77;166;12068;V6. 3.0I. Sportronic;27
2;Alfa Romeo;83;Brera;12300;3.2 V6 TJS 4x4;27
2;Alfa Romeo;87;Mito;19232;Progression 1.4 Multiair;27
2;Alfa Romeo;87;Mito;19233;1.4 Disctintive AT;27
2;Alfa Romeo;84;Giulietta;19234;Distinctive SR TCT;27
2;Alfa Romeo;87;Mito;19235;Distinctive TCT;27
2;Alfa Romeo;84;Giulietta;18580;1.8T QV Multiair;27
2;Alfa Romeo;87;Mito;18581;1.4T QV Multiair;27
2;Alfa Romeo;87;Mito;17996;1.4;27
2;Alfa Romeo;87;Mito;21485;1.4T QV Multiair cuero;27
129;AMC;91;150;13621;Desconocido;27
129;AMC;92;150 Sport;13622;Desconocido;27
129;AMC;93;ATV 200;13623;Desconocido;27
129;AMC;94;Dynamic 125;13624;Desconocido;27
129;AMC;95;F1 MRR 10;13625;Desconocido;27
129;AMC;96;F5;13626;Desconocido;27
129;AMC;97;F5 150;13627;Desconocido;27
129;AMC;98;Fenix 150;13628;Desconocido;27
129;AMC;99;FIMRR 110;13629;Desconocido;27
129;AMC;100;Jupiter 150;13630;Desconocido;27
129;AMC;101;Mercurio 125;13631;Desconocido;27
129;AMC;102;Montana 150;13632;Desconocido;27
129;AMC;103;Montana 200;13633;Desconocido;27
129;AMC;104;MT 200;13634;Desconocido;27
129;AMC;106;Otro Modelo;13635;Desconocido;27
129;AMC;107;West 110;13636;Desconocido;27
129;AMC;108;Windspeed 200;13637;Desconocido;27
129;AMC;105;Otro Modelo;4829;Otra Versión;27
86;Appia;124;Andina 110;13643;Desconocido;27
86;Appia;125;Beraka 125;13644;Desconocido;27
86;Appia;126;Bless 150;13645;Desconocido;27
86;Appia;127;Brezza;13646;Desconocido;27
86;Appia;128;Citiplus 110;13647;Desconocido;27
86;Appia;129;DCN 110;13648;Desconocido;27
86;Appia;130;Geremy 125;13649;Desconocido;27
86;Appia;131;Leyenda;13650;Desconocido;27
86;Appia;132;Montero 150;13651;Desconocido;27
86;Appia;133;Otro Modelo;13652;Desconocido;27
86;Appia;134;Regia 125;13653;Desconocido;27
86;Appia;135;Vectra;13654;Desconocido;27
86;Appia;136;Vectra 110;13655;Desconocido;27
87;Aprilia;137;Atlantic;13656;Desconocido;27
87;Aprilia;138;Atlantic 500;13657;Desconocido;27
87;Aprilia;139;Classique;13658;Desconocido;27
87;Aprilia;140;Dorsoduro 750 cc;13659;Desconocido;27
87;Aprilia;141;Enduro 4.5;13660;Desconocido;27
87;Aprilia;142;ETV Caponord;13661;Desconocido;27
87;Aprilia;143;ETX;13662;Desconocido;27
87;Aprilia;144;Habana;13663;Desconocido;27
87;Aprilia;145;Leonardo;13664;Desconocido;27
87;Aprilia;146;Motard 5.5;13665;Desconocido;27
87;Aprilia;147;Moto 6.5 650 Starck;13666;Desconocido;27
87;Aprilia;148;Moto 6.5 Starck;13667;Desconocido;27
87;Aprilia;150;Pegaso;13668;Desconocido;27
87;Aprilia;151;Pegasso 650 Trial;13669;Desconocido;27
87;Aprilia;152;RS;13670;Desconocido;27
87;Aprilia;153;RST Futura;13671;Desconocido;27
87;Aprilia;154;RSV;13672;Desconocido;27
87;Aprilia;155;RSV 1000 R;13673;Desconocido;27
87;Aprilia;156;Scarabeo;13674;Desconocido;27
87;Aprilia;157;Shiver 750 cc;13675;Desconocido;27
87;Aprilia;158;SL Falco;13676;Desconocido;27
87;Aprilia;159;Sport City;13677;Desconocido;27
87;Aprilia;160;SR;13678;Desconocido;27
87;Aprilia;7544;STX;21720;Desconocido;27
87;Aprilia;7544;STX;21721;150;27
87;Aprilia;149;Otro Modelo;212;Desconocido;27
3;Aro;161;243;713;Diesel;27
3;Aro;161;243;714;Otra Versión;27
3;Aro;162;244;715;Diesel;27
3;Aro;162;244;716;Otra Versión;27
3;Aro;162;244;717;Turbo Diesel;27
3;Aro;163;246;721;Diesel Dh;27
3;Aro;163;246;722;Otra Versión;27
3;Aro;164;320;897;Diesel (Pick-up);27
3;Aro;164;320;898;Otra Versión;27
3;Aro;165;Aro;1786;10.9 Pick-up D/Cab. 1.6 N;27
3;Aro;165;Aro;1787;10.9 Pick-up D/Cab. 1.9 D;27
3;Aro;165;Aro;1788;Otra Versión;27
3;Aro;172;Otro Modelo;4857;Otra Versión;27
3;Aro;174;Spartana;6073;1.4;27
3;Aro;174;Spartana;6074;1.6;27
3;Aro;174;Spartana;6075;Otra Versión;27
3;Aro;175;T.Terr.;6244;10.1 4x4 Techo Lona 1.4/1.6;27
3;Aro;175;T.Terr.;6245;10.1 4x4 Techo Lona Diesel;27
3;Aro;175;T.Terr.;6246;10.4 4x4 T/Rigido Diesel;27
3;Aro;175;T.Terr.;6247;10.4 4x4 Techo Rigido 1.4 /1.6;27
3;Aro;175;T.Terr.;6248;Otra Versión;27
3;Aro;168;Corcel;9823;Otra Versión;27
3;Aro;170;Doble Cabina;10008;Platon;27
3;Aro;166;Carpado;9608;Otra Versión;27
3;Aro;167;Carpati;9609;Otra Versión;27
3;Aro;171;Maxi;8690;Otra Versión;27
3;Aro;173;Pick Up;8750;Otra Versión;27
3;Aro;169;Cross Lander;8638;Otra Versión;27
4;Asia;193;Topic;6375;Furgón;27
4;Asia;193;Topic;6376;Mini Bus;27
4;Asia;193;Topic;6377;Mini Bus Dh;27
4;Asia;193;Topic;6378;Mini Bus Dh Aa;27
4;Asia;193;Topic;6379;Otra Versión;27
4;Asia;194;Towner;6390;Furgón;27
4;Asia;194;Towner;6391;Mini Bus;27
4;Asia;194;Towner;6392;Mini Bus Aa;27
4;Asia;194;Towner;6393;Mini Bus Full;27
4;Asia;194;Towner;6394;Otra Versión;27
4;Asia;194;Towner;6397;Pick-Up;27
4;Asia;192;Rocsta;5470;Base Techo Duro;27
4;Asia;192;Rocsta;5471;Dx Dh Aa Techo Duro;27
4;Asia;192;Rocsta;5472;Dx Dh Lona;27
4;Asia;192;Rocsta;5473;GT - HT Techo Duro Full;27
4;Asia;192;Rocsta;5474;GT - ST Lona;27
4;Asia;192;Rocsta;5475;Otra Versión;27
4;Asia;190;Otro Modelo;4858;Otra Versión;27
4;Asia;187;Am 420;1754;8.5 Ton;27
4;Asia;187;Am 420;1755;Otra Versión;27
4;Asia;188;AM 825;1756;Mini Bus 20 Pasajeros;27
4;Asia;188;AM 825;1757;Mini Bus Dh Aa;27
4;Asia;188;AM 825;1758;Otra Versión;27
4;Asia;189;Cosmos;13690;Desconocido;27
4;Asia;191;Otro Modelo;13691;Desconocido;27
4;Asia;195;Towner;13692;Desconocido;27
130;Aston Martin;196;DB7;12542;Otra Versión;27
130;Aston Martin;197;DB9;12543;Otra Versión;27
130;Aston Martin;199;Vanquish;13472;Otra Versión;27
130;Aston Martin;200;Vantage;13473;Otra Versión;27
130;Aston Martin;7633;V8 Vantage;21917;Otra Versión;27
130;Aston Martin;7633;V8 Vantage;21918;4.7;27
130;Aston Martin;7634;V8 Vantage Roadster;21919;Otra Versión;27
130;Aston Martin;7634;V8 Vantage Roadster;21920;4.7;27
130;Aston Martin;7635;V8 Vantage S Coupe;21921;Otra Versión;27
130;Aston Martin;7635;V8 Vantage S Coupe;21922;4.7;27
130;Aston Martin;7636;V8 Vantage S Roadster;21923;Otra Versión;27
130;Aston Martin;7636;V8 Vantage S Roadster;21924;4.7;27
130;Aston Martin;7637;V12 Vantage;21925;Otra Versión;27
130;Aston Martin;7637;V12 Vantage;21926;6.0 V12;27
130;Aston Martin;7638;V12 Vantage S;21927;Otra Versión;27
130;Aston Martin;7638;V12 Vantage S;21928;6.0 V12;27
130;Aston Martin;197;DB9;21929;Coupe;27
130;Aston Martin;197;DB9;21930;Volante;27
130;Aston Martin;7639;Rapide;21931;Otra Versión;27
130;Aston Martin;7639;Rapide;21932;6.0 V12;27
130;Aston Martin;7419;Rapide S;21933;6.0 V12;27
130;Aston Martin;199;Vanquish;21934;6.0 V12;27
130;Aston Martin;7640;Vanquish Volante;21935;Otra Versión;27
130;Aston Martin;7640;Vanquish Volante;21936;6.0 V12;27
130;Aston Martin;7641;DBS;21937;Otra Versión;27
130;Aston Martin;7641;DBS;21938;6.0 V12;27
130;Aston Martin;7642;Virage;21939;Otra Versión;27
130;Aston Martin;7642;Virage;21940;6.3 V8;27
130;Aston Martin;197;DB9;19236;Sportshift;27
130;Aston Martin;200;Vantage;19237;V8;27
130;Aston Martin;200;Vantage;19238;V8 Roadster;27
130;Aston Martin;200;Vantage;19239;V8 Sportshift;27
130;Aston Martin;7419;Rapide S;19188;Otra Versión;27
130;Aston Martin;198;Otro Modelo;4830;Otra Versión;27
131;Auburn;230;Otro Modelo;4831;Otra Versión;27
5;Audi;249;Q5;5332;2.0 TDI 170 CV Quattro;27
5;Audi;249;Q5;5333;2.0 TFSI 211 CV Quattro;27
5;Audi;249;Q5;5334;2.0 TFSI 211 CV Quattro Luxury;27
5;Audi;249;Q5;5335;2.0 TFSI 211 CV S tronic Quattro;27
5;Audi;249;Q5;5336;2.0 TFSI 211 CV S tronic Quattro Luxury;27
5;Audi;249;Q5;5337;3.0 TDI 240 CV S tronic Quattro;27
5;Audi;249;Q5;5338;3.2 FSI 270 CV S tronic Quattro;27
5;Audi;249;Q5;5339;Otra Versión;27
5;Audi;250;Q7;5340;3.0 TDI Tiptronic Quattro 240 CV;27
5;Audi;250;Q7;5341;3.0L Tdi;27
5;Audi;250;Q7;5342;4.2 FSI Tiptronic Quattro 350 CV;27
5;Audi;250;Q7;5343;4.2 TDI Tiptronic Quattro 326 CV;27
5;Audi;250;Q7;5344;4.2L Fsi;27
5;Audi;250;Q7;5345;4.2L Tdi;27
5;Audi;244;Allroad;1744;2.5 TDi Quattro;27
5;Audi;244;Allroad;1745;2.5 TDi Quattro Tiptronic;27
5;Audi;244;Allroad;1746;2.7 Biturbo Tiptronic Quattro;27
5;Audi;244;Allroad;1747;3.0 TDI Tiptronic Quattro 240 CV;27
5;Audi;244;Allroad;1748;4.2 FSI Tiptronic Quattro 350 CV;27
5;Audi;239;A6;1633;2.4;27
5;Audi;239;A6;1634;2.4 Multitronic;27
5;Audi;239;A6;1635;2.4 Quattro;27
5;Audi;239;A6;1636;2.4 Tiptronic Quattro;27
5;Audi;239;A6;1637;2.5 TDi;27
5;Audi;239;A6;1638;2.5 TDi Tiptronic;27
5;Audi;239;A6;1639;2.5 TDi Tiptronic Quattro;27
5;Audi;239;A6;1640;2.6 Quattro;27
5;Audi;239;A6;1641;2.7 Biturbo Tiptronic Quattro Security;27
5;Audi;239;A6;1642;2.7 Tiptronic Quattro;27
5;Audi;239;A6;1643;2.8;27
5;Audi;239;A6;1644;2.8 Quattro;27
5;Audi;239;A6;1645;2.8 Tiptronic;27
5;Audi;239;A6;1646;2.8 Tiptronic Quattro;27
5;Audi;239;A6;1647;3.0 TDI 240CV Premium;27
5;Audi;239;A6;1648;3.0 TDi Tiptronic Quattro;27
5;Audi;239;A6;1649;3.0 Tiptronic Quattro;27
5;Audi;239;A6;1650;4.2 FSI Tiptronic Quattro 350 CV;27
5;Audi;239;A6;1651;4.2 Tiptronic Quattro;27
5;Audi;239;A6;1652;Avant 2.4;27
5;Audi;239;A6;1653;Avant 2.4 Quattro;27
5;Audi;239;A6;1654;Avant 2.4 Tiptronic;27
5;Audi;239;A6;1655;Avant 2.4 Tiptronic Quattro;27
5;Audi;239;A6;1656;Avant 2.5 TDi;27
5;Audi;239;A6;1657;Avant 2.5 TDi Tiptronic;27
5;Audi;239;A6;1658;Avant 2.5 TDi Tiptronic Quattro;27
5;Audi;239;A6;1659;Avant 2.6 Quattro;27
5;Audi;239;A6;1660;Avant 2.8;27
5;Audi;239;A6;1661;Avant 2.8 Quattro;27
5;Audi;239;A6;1662;Avant 2.8 Tiptronic;27
5;Audi;239;A6;1663;Avant 2.8 Tiptronic Quattro;27
5;Audi;239;A6;1664;V6;27
5;Audi;239;A6;1665;V6 Aut;27
5;Audi;239;A6;1666;V6 Avant;27
5;Audi;242;A8;1667;4.2 FSI Tiptronic Quattro 350 CV;27
5;Audi;242;A8;1668;4.2 Tiptronic Quattro;27
5;Audi;242;A8;1669;L 4.2 FSI Tiptronic Quattro 350 CV;27
5;Audi;242;A8;1670;Otra Versión;27
5;Audi;234;A1;1361;Otra Versión;27
5;Audi;235;A3;1362;1.6 .102 CV Plus;27
5;Audi;235;A3;1363;1.6 102 CV;27
5;Audi;235;A3;1364;1.6 102 CV Alcantara;27
5;Audi;235;A3;1365;1.6 102 CV Alcantara+Premium;27
5;Audi;235;A3;1366;1.6 102 CV Cuero;27
5;Audi;235;A3;1367;1.6 102 CV Cuero+Premium;27
5;Audi;235;A3;1368;1.6 102 CV Plus Alcantara;27
5;Audi;235;A3;1369;1.6 102 CV Plus Alcantara+Premium;27
5;Audi;235;A3;1370;1.6 102 CV Plus Cuero;27
5;Audi;235;A3;1371;1.6 102 CV Plus Cuero+Premium;27
5;Audi;235;A3;1372;1.6 102 CV Plus Premium;27
5;Audi;235;A3;1373;1.6 102 CV Premium;27
5;Audi;235;A3;1374;1.6 3P;27
5;Audi;235;A3;1375;1.6 5P;27
5;Audi;235;A3;1376;1.6 Sportback 102 CV;27
5;Audi;235;A3;1377;1.6 Sportback 102 CV Alcantara;27
5;Audi;235;A3;1378;1.6 Sportback 102 CV Alcantara+Premium;27
5;Audi;235;A3;1379;1.6 Sportback 102 CV Cuero;27
5;Audi;235;A3;1380;1.6 Sportback 102 CV Cuero+Premium;27
5;Audi;235;A3;1381;1.6 Sportback 102 CV Plus;27
5;Audi;235;A3;1382;1.6 Sportback 102 CV Plus Alcantara;27
5;Audi;235;A3;1383;1.6 Sportback 102 CV Plus Alcantara+Premium;27
5;Audi;235;A3;1384;1.6 Sportback 102 CV Plus Cuero;27
5;Audi;235;A3;1385;1.6 Sportback 102 CV Plus Cuero+Premium;27
5;Audi;235;A3;1386;1.6 Sportback 102 CV Plus Premium;27
5;Audi;235;A3;1387;1.6 Sportback 102 CV Premium;27
5;Audi;235;A3;1388;1.8 3P;27
5;Audi;235;A3;1389;1.8 3P Aut.;27
5;Audi;235;A3;1390;1.8 3P T;27
5;Audi;235;A3;1391;1.8 3P T (180Cv);27
5;Audi;235;A3;1392;1.8 3P T (180Cv) Tiptronic;27
5;Audi;235;A3;1393;1.8 3P T Attraction;27
5;Audi;235;A3;1394;1.8 3P T Aut.;27
5;Audi;235;A3;1395;1.8 5P;27
5;Audi;235;A3;1396;1.8 5P Aut.;27
5;Audi;235;A3;1397;1.8 5P T;27
5;Audi;235;A3;1398;1.8 5P T (180Cv);27
5;Audi;235;A3;1399;1.8 5P T (180Cv) Tiptronic;27
5;Audi;235;A3;1400;1.8 5P T Attraction;27
5;Audi;235;A3;1401;1.8 5P T Aut.;27
5;Audi;235;A3;1402;1.8 Sportback TFSI 160 CV;27
5;Audi;235;A3;1403;1.8 Sportback TFSI 160 CV Alcantara;27
5;Audi;235;A3;1404;1.8 Sportback TFSI 160 CV Alcantara+Premium;27
5;Audi;235;A3;1405;1.8 Sportback TFSI 160 CV Cuero;27
5;Audi;235;A3;1406;1.8 Sportback TFSI 160 CV Cuero+Premium;27
5;Audi;235;A3;1407;1.8 Sportback TFSI 160 CV Plus;27
5;Audi;235;A3;1408;1.8 Sportback TFSI 160 CV Plus Alcantara;27
5;Audi;235;A3;1409;1.8 Sportback TFSI 160 CV Plus Alcantara+Premium;27
5;Audi;235;A3;1410;1.8 Sportback TFSI 160 CV Plus Cuero;27
5;Audi;235;A3;1411;1.8 Sportback TFSI 160 CV Plus Cuero+Premium;27
5;Audi;235;A3;1412;1.8 Sportback TFSI 160 CV Plus Premium;27
5;Audi;235;A3;1413;1.8 Sportback TFSI 160 CV Premium;27
5;Audi;235;A3;1414;1.8 Sportback TFSI S tronic 160 CV;27
5;Audi;235;A3;1415;1.8 Sportback TFSI S tronic 160 CV Alcantara;27
5;Audi;235;A3;1416;1.8 Sportback TFSI S tronic 160 CV Alcantara+Premi;27
5;Audi;235;A3;1417;1.8 Sportback TFSI S tronic 160 CV Cuero;27
5;Audi;235;A3;1418;1.8 Sportback TFSI S tronic 160 CV Cuero+Premium;27
5;Audi;235;A3;1419;1.8 Sportback TFSI S tronic 160 CV Plus;27
5;Audi;235;A3;1420;1.8 Sportback TFSI S tronic 160 CV Plus Alcantara;27
5;Audi;235;A3;1421;1.8 Sportback TFSI S tronic 160 CV Plus Alcantara+;27
5;Audi;235;A3;1422;1.8 Sportback TFSI S tronic 160 CV Plus Cuero;27
5;Audi;235;A3;1423;1.8 Sportback TFSI S tronic 160 CV Plus Cuero+Prem;27
5;Audi;235;A3;1424;1.8 Sportback TFSI S tronic 160 CV Plus Premium;27
5;Audi;235;A3;1425;1.8 Sportback TFSI S tronic 160 CV Premium;27
5;Audi;235;A3;1426;1.8 TFSI 160 CV;27
5;Audi;235;A3;1427;1.8 TFSI 160 CV Alcantara;27
5;Audi;235;A3;1428;1.8 TFSI 160 CV Alcantara+Premium;27
5;Audi;235;A3;1429;1.8 TFSI 160 CV Cuero;27
5;Audi;235;A3;1430;1.8 TFSI 160 CV Cuero+Premium;27
5;Audi;235;A3;1431;1.8 TFSI 160 CV Plus;27
5;Audi;235;A3;1432;1.8 TFSI 160 CV Plus Alcantara;27
5;Audi;235;A3;1433;1.8 TFSI 160 CV Plus Alcantara+Premium;27
5;Audi;235;A3;1434;1.8 TFSI 160 CV Plus Cuero;27
5;Audi;235;A3;1435;1.8 TFSI 160 CV Plus Cuero+Premium;27
5;Audi;235;A3;1436;1.8 TFSI 160 CV Plus Premium;27
5;Audi;235;A3;1437;1.8 TFSI 160 CV Premium;27
